file,issue_type,details
2002/froyalt.html,missing_poster_reference,No poster image reference found
2002/froyalt.html,thin_content,Modern content is 11% of legacy length (92 vs 816 chars)
2002/fsebastian-1.html,missing_imdb_link,No IMDB link in film card
2002/fsebastian-1.html,missing_poster_reference,No poster image reference found
2002/fsebastian-2.html,missing_imdb_link,No IMDB link in film card
2002/fsebastian-2.html,missing_poster_reference,No poster image reference found
2002/fsebastian-3.html,missing_imdb_link,No IMDB link in film card
2002/fsebastian-3.html,missing_poster_reference,No poster image reference found
2002/fsebastian.html,missing_director,No Director listed in film-credits
2002/fsebastian.html,missing_imdb_link,No IMDB link in film card
2002/fsebastian.html,missing_poster_reference,No poster image reference found
2002/fsiff02-indx.html,empty_content,Article body has only 1 <p> tag(s)
2002/fsiff02-indx.html,missing_director,No Director listed in film-credits
2002/fsiff02-indx.html,missing_imdb_link,No IMDB link in film card
2002/fsiff02-indx.html,missing_poster_reference,No poster image reference found
2002/fsiff02.html,empty_content,Article body has only 1 <p> tag(s)
2002/fsiff02.html,missing_director,No Director listed in film-credits
2002/fsiff02.html,missing_imdb_link,No IMDB link in film card
2002/fsiff02.html,missing_poster_reference,No poster image reference found
2002/fsiff02.html,thin_content,Modern content is 3% of legacy length (103 vs 3110 chars)
2002/fspykids2.html,empty_content,Article body has only 1 <p> tag(s)
2002/fspykids2.html,missing_director,No Director listed in film-credits
2002/fspykids2.html,missing_imdb_link,No IMDB link in film card
2002/fspykids2.html,missing_poster_reference,No poster image reference found
2002/fspykids2.html,thin_content,Modern content is 20% of legacy length (82 vs 397 chars)
2002/fstanding.html,missing_director,No Director listed in film-credits
2002/fstanding.html,missing_imdb_link,No IMDB link in film card
2002/fstanding.html,missing_poster_reference,No poster image reference found
2002/fstein.html,missing_director,No Director listed in film-credits
2002/fstein.html,missing_imdb_link,No IMDB link in film card
2002/fstein.html,missing_poster_reference,No poster image reference found
2002/fsunshine.html,missing_director,No Director listed in film-credits
2002/fsunshine.html,missing_imdb_link,No IMDB link in film card
2002/fsunshine.html,missing_poster_reference,No poster image reference found
2002/ftadpole.html,missing_imdb_link,No IMDB link in film card
2002/ftadpole.html,missing_poster_reference,No poster image reference found
2002/ftiff02-indx.html,empty_content,Article body has only 1 <p> tag(s)
